,School name,Department,Number of first-year students Fellowship,Number of first-year students RA's,Number of first-year students TA's,Number of first-year students Receive full tuition waivers,Number of first-year students Receive partial waivers,"Average stipend 
 (per academic year) Fellowship ($$)","Average stipend 
 (per academic year) RA ($$)","Average stipend 
 (per academic year) TA ($$)"
0,"University of Colorado, Boulder",Physics,2,25,39,66 *,,"$23,842","$23,842","$23,842"
1,Massachusetts Institute of Technology,Physics,34,12,3,49,,"$40,331","$40,331","$40,331"
2,"University of California, Berkeley",Physics,7,3,36,46 *,,"$34,000","$35,000","$21,150"
3,Harvard University,Physics,44,,,44 *,,"$31,610","$31,610","$31,610"
4,"University of Illinois, Urbana-Champaign",Physics,3,,41,44 *,,"$25,000","$24,266","$24,266"
5,Ohio State University,Physics,19,,21,40 *,1,"$28,000","$27,264","$26,244"
6,"University of California, Riverside",Physics & Astronomy,34,,32,34 *,,"$20,000","$20,853","$21,273"
7,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,3,1,29,32,,"$33,000","$28,000","$23,000"
8,University of Arizona,Optical Sciences,30,,,31 *,,"$24,344","$17,379","$17,379"
9,Stanford University,Physics,,,,30,,,,
10,Stevens Institute of Technology,Physics And Engineering Physics,1,,,30 *,,"$23,279","$23,279","$23,279"
11,University of Texas at Austin,Physics,7,1,25,29,,"$30,000","$27,540","$27,540"
12,Pennsylvania State University,Physics,9,,19,28 *,,"$34,000","$29,565","$24,577"
13,University of Minnesota,Physics,2,,26,28 *,,"$19,843","$19,843","$19,843"
14,"University of Wisconsin, Madison",Physics,1,3,24,28 *,,"$22,000","$22,000","$22,000"
15,Florida State University,Physics,,,26,27 *,,"$23,900","$23,900","$20,900"
16,University of Chicago,Physics,13,11,20,27 *,,"$24,225","$24,225","$24,225"
17,University of Florida,Physics,4,,27,27,,"$31,000","$25,000","$25,000"
18,"University of North Carolina, Chapel Hill",Physics & Astronomy,2,1,24,27,,"$24,000","$25,901","$25,901"
19,University of Pittsburgh,Physics & Astronomy,10,,17,27 *,,"$33,400","$29,220","$29,220"
20,University of Washington,Physics,7,4,15,26,,,"$21,069","$21,069"
21,Montana Tech,Geosciences & Engineering,1,9,23,25 *,12,"$10,000","$10,800","$10,000"
22,"University of California, Santa Barbara",Physics,25,3,20,25 *,,"$32,000","$27,179","$21,911"
23,University of Central Florida,"CREOL, The College of Optics & Photonics",25,5,3,25 *,,"$25,000","$25,000","$25,000"
24,Arizona State University,Physics & Astronomy,,1,23,24 *,,,"$17,560","$15,631"
25,Cornell University,Physics,4,,20,24 *,,"$31,380","$27,626","$29,681"
26,Rice University,Physics & Astronomy,23,,,23 *,,"$31,600","$31,600",
27,Northwestern University,Physics & Astronomy,22,,,22,,"$32,196","$32,196","$32,196"
28,"University of California, Santa Cruz",Physics,1,1,20,22,,"$24,000","$24,156","$20,051"
29,The Graduate Center - The City University of New York,Ph.D. Program in Physics,25,,,21 *,,"$16,000","$16,000","$14,000"
30,University of Notre Dame,Physics,4,,20,21,,"$37,111","$23,295","$23,295"
31,"University of Tennessee, Knoxville",Physics & Astronomy,,,21,21,,,,"$21,800"
32,"Rutgers University, New Brunswick",Physics & Astronomy,5,,15,20 *,,"$29,000","$28,569","$28,569"
33,Clemson University,Physics & Astronomy,4,1,18,19 *,,"$24,500","$23,000","$22,000"
34,Duke University,Physics,2,,17,19 *,,"$23,850","$23,850","$23,850"
35,Georgia Institute of Technology,Physics,,,19,19 *,,,"$27,060","$27,060"
36,"Montana State University, Bozeman",Physics,,,19,19,,"$24,000","$19,750","$18,350"
37,University of Connecticut,Physics,,,19,19,,"$23,836","$23,836","$23,836"
38,Northeastern University,Physics,,,18,18 *,,,"$24,602","$24,602"
39,"University of Nebraska, Lincoln",Physics & Astronomy,6,,18,18 *,,"$3,000","$24,048","$24,048"
40,University of Oklahoma,Physics & Astronomy,1,,17,18,,"$26,400","$26,400","$26,400"
41,West Virginia University,Physics,,,18,18 *,,"$28,000","$24,500","$24,500"
42,University of Houston,Physics,23,,23,17,,"$25,400","$27,900","$23,400"
43,University of Michigan,Applied Physics,17,,,17,,"$27,351",,
44,Columbia University,Department of Applied Physics and Applied Mathematics,1,,15,16 *,,,"$40,310","$40,310"
45,University of California Merced,Physics,,,16,16 *,,"$27,970","$27,970","$27,970"
46,University of Oregon,Physics,,,16,16,,"$18,203","$18,203","$18,203"
47,"University of Wisconsin, Milwaukee",Physics,,,16,16 *,,"$20,000","$20,000","$20,000"
48,Colorado State University,Physics,,,15,15 *,,,"$18,810","$18,810"
49,Georgia State University,Physics & Astronomy,,,15,15,,,,"$22,000"
50,University of Arizona,Physics,1,1,13,15 *,,,"$18,400","$18,400"
51,University of Rochester,Physics & Astronomy,1,,15,15 *,,"$30,000","$28,584","$28,584"
52,"Indiana University, Bloomington",Physics,3,1,12,14 *,,"$25,000","$24,000","$22,333"
53,Oklahoma State University,Physics,,2,12,14 *,,,"$20,583","$20,583"
54,University of Kentucky,Physics & Astronomy,1,1,14,14 *,,"$22,500","$20,000","$20,000"
55,"University of Massachusetts, Amherst",Physics,4,,14,14,,"$5,000","$23,248","$23,248"
56,University of Utah,Physics,,,14,14,,,"$25,740","$25,740"
57,University of Iowa,Physics & Astronomy,1,2,13,13 *,,"$19,650","$19,644","$19,644"
58,Auburn University,Physics,,,12,12,,,"$23,270","$23,270"
59,Emory University,Physics,5,,12,12 *,,"$31,000","$31,000","$31,000"
60,Rice University,Smalley-Curl Institute,12,,,12 *,,"$31,000","$31,000",
61,"University of Illinois, Chicago",Physics,,,12,12 *,,,"$19,730","$19,730"
62,University of New Hampshire,Physics,1,2,9,12 *,,"$19,640","$19,640","$19,640"
63,University of South Florida,Physics,1,1,7,12,,"$25,000","$23,615","$23,615"
64,Virginia Tech,Physics,,,12,12 *,,,"$17,352","$17,352"
65,Boston University,Physics,3,,8,11,,"$35,010","$35,010","$35,010"
66,Illinois Institute of Technology,Physics,,,9,11 *,,,,"$21,000"
67,Rensselaer Polytechnic Institute,"Physics, Applied Physics, Astronomy",,,11,11 *,,"$35,250","$23,500","$23,500"
68,University of Delaware,Physics & Astronomy,,,11,11,,,"$27,000","$28,000"
69,Vanderbilt University,Physics & Astronomy,,7,4,11 *,,"$5,000","$30,000","$30,000"
70,Baylor University,Physics,10,,10,10 *,,"$5,000","$22,600","$22,600"
71,Carnegie Mellon University,Physics,,,10,10,,"$30,000","$30,000","$30,000"
72,Lehigh University,Physics,1,,9,10 *,,"$29,340","$29,340","$29,340"
73,Oregon State University,Physics,,1,9,10 *,,"$19,674","$19,674","$19,674"
74,"State University of New York (SUNY), Binghamton","Physics, Applied Physics & Astronomy",2,,12,10,,"$23,000","$23,000","$23,000"
75,The University of North Carolina at Charlotte,Physics and Optical Science,,40,10,10,,,"$28,000","$23,050"
76,"University of Missouri, Columbia",Physics & Astronomy,10,2,8,10 *,,"$21,000","$22,000","$18,000"
77,University of Wisconsin,Medical Physics Program,1,9,,10 *,,"$28,000","$28,000","$20,000"
78,Washington University in St. Louis,Physics,,,,10 *,,"$26,256",,
79,George Washington University,Physics,2,1,6,9,1,"$25,000","$24,000","$24,000"
80,Drexel University,Physics,,1,7,9 *,,"$5,000","$27,000","$23,500"
81,Kansas State University,Physics,1,,9,9 *,,"$23,000","$18,000","$18,000"
82,Kent State University,Department of Physics,,,9,9 *,,,"$24,720","$21,650"
83,Miami University,Physics,,1,8,9,,,"$17,406","$17,406"
84,Ohio University,Physics and Astronomy,,,9,9,,,"$26,510","$24,504"
85,"State University of New York (SUNY), Albany",Physics,,,9,9 *,,,,"$18,500"
86,University of Maine,Physics and Astronomy,,,9,9 *,,,"$17,500","$17,340"
87,"University of Massachusetts, Lowell",Physics & Applied Physics,,,10,9 *,,,"$25,000","$25,000"
88,University of Mississippi,Physics & Astronomy,1,1,9,9 *,,"$16,000","$16,000","$16,000"
89,Bowling Green State University,Physics & Astronomy,,1,7,8,,,,"$12,000"
90,College of William and Mary,Physics,2,,8,8 *,,"$31,000","$27,000","$27,000"
91,Florida International University,Physics,,,8,8 *,,,"$24,164","$24,164"
92,Montana Tech of the University of Montana,Materials Science PhD Program,,8,8,8 *,,,"$15,840","$15,840"
93,Old Dominion University,Physics,,,8,8 *,,,"$26,250","$24,500"
94,"State University of New York (SUNY), Univ. at Buffalo",Physics,1,,8,8 *,,"$23,500","$19,000","$16,500"
95,University of Alaska Fairbanks,Physics,,,3,8 *,,"$20,845","$18,678","$18,678"
96,University of Cincinnati,Physics,2,,12,8,,"$23,000","$21,000","$21,000"
97,"University of Texas, Arlington",Physics,4,2,9,8 *,,"$25,200","$25,200","$25,200"
98,University of Wyoming,Physics & Astronomy,1,1,6,8,,"$22,000","$20,955","$20,955"
99,George Mason University,Physical Sciences,2,2,3,7,1,"$24,000","$20,000","$20,000"
100,Case Western Reserve University,Physics,,,7,7 *,,"$25,800","$25,800","$25,800"
101,Kent State University,Chemical Physics,,1,7,7 *,,"$18,540","$18,540","$18,540"
102,Northern Arizona University,Physics,3,7,,7 *,,"$8,000","$20,000","$20,000"
103,University of South Carolina,Physics & Astronomy,,,,7 *,,"$18,830","$17,500","$17,250"
104,Western Michigan University,Physics,,,7,7 *,,"$13,003","$14,945","$14,945"
105,Central Michigan University,Physics,,2,6,6 *,,"$13,900","$13,900","$13,900"
106,New Mexico State University,Astronomy,6,1,7,6 *,,"$18,163","$18,163","$18,163"
107,"University of Alabama, Tuscaloosa",Physics & Astronomy,2,,4,6 *,,"$18,747","$18,747","$18,747"
108,University of Kansas,Physics & Astronomy,2,,6,6 *,,"$32,000","$18,200","$18,200"
109,"University of Minnesota, Duluth",Physics,2,,6,6 *,,"$5,000","$15,490","$15,490"
110,Wake Forest University,Physics,1,,5,5 *,1,"$25,657","$23,657","$23,657"
111,Creighton University,Physics,1,,5,5,,,"$11,576","$11,576"
112,Fudan University,Physics,,,,5,,"RMB ¥8,000","RMB ¥30,000","RMB ¥20,000"
113,Georgetown University,Physics,,,4,5 *,,"$29,000","$29,000","$29,000"
114,Missouri University of Science & Technology,Physics,,,4,5 *,,,"$18,546","$18,546"
115,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,1,1,3,5,,"$31,000","$29,000","$26,000"
116,"University of Maryland, Baltimore County",Physics Graduate Program,,,5,5,,"$31,000","$29,000","$26,000"
117,University of Vermont,Physics,1,1,6,5 *,,"$20,250","$20,250","$20,250"
118,Utah State University,Physics,,1,7,5,,"$20,000","$18,000","$15,000"
119,Virginia Commonwealth University,Physics,,,,5,,,,
120,Clark University,Physics,,1,1,4 *,,,"$16,935","$15,639"
121,DePaul University,Physics,,,4,4,,,,"$11,500"
122,East Carolina University,Physics,,,6,4 *,,,"$23,520","$21,000"
123,Eastern Michigan University,Physics and Astronomy,,,4,4,,,,"$10,000"
124,Indiana University - Purdue University Indianapolis,Physics,,,4,4,,"$20,000","$20,000","$20,000"
125,"Indiana University, Bloomington",Astronomy,,,4,4,,"$16,000","$26,000","$26,000"
126,Iowa State University,Physics and Astronomy,2,,4,4,,"$8,000","$18,900","$18,900"
127,Portland State University,Physics,,1,3,4 *,,,"$18,000","$18,000"
128,Southern Methodist University,Physics,,,3,4,,"$37,600","$27,600","$26,400"
129,University of Chicago,Astronomy & Astrophysics,,,4,4 *,,"$33,100","$33,100","$33,100"
130,"University of Colorado, Colorado Springs",Physics,2,2,5,3 *,3,"$5,000","$8,000","$8,000"
131,Alabama A&M University,Physics,8,8,1,3,,"$18,000","$15,000","$12,000"
132,North Dakota State University,Physics,,1,2,3 *,,,"$21,000","$20,000"
133,Oakland University,Physics,,,3,3 *,,"$15,000","$15,000","$15,000"
134,"University of Massachusetts, Dartmouth",Physics,,,3,3 *,,"$18,000","$15,000","$16,000"
135,"University of Nevada, Las Vegas",Physics,,1,2,3 *,,,,
136,Texas Christian University,Physics and Astronomy,1,,1,2 *,,"$22,500","$23,000","$21,000"
137,Texas Tech University,Physics,3,,15,*,10,"$4,000","$15,531","$15,531"
138,Northern Illinois University,Physics,1,1,5,*,6,"$18,694","$18,619","$16,260"
139,New Mexico State University,Physics,,,5,*,5,,"$19,650","$19,650"
140,University of South Dakota,Physics,,4,2,*,4,,"$20,000","$20,000"
141,Southern Connecticut State University,Physics,1,1,2,*,3,"$9,600","$18,000","$9,000"
142,"Texas State University, San Marcos",Physics,,1,3,*,3,,"$18,000","$13,000"
143,Appalachian State University,Physics and Astronomy,,,17,,,"$15,000","$12,000","$9,000"
144,Boston College,Physics,,,6,,,,"$30,000","$30,000"
145,Brown University,Physics,1,,18,*,,"$26,276","$26,276","$26,276"
146,Bryn Mawr College,Physics,,,1,,,"$27,250","$27,250","$27,250"
147,"California State University, Long Beach",Physics & Astronomy,,,10,*,,,,"$10,088"
148,Clarkson University,Physics,,,2,,,"$26,520","$26,520","$26,520"
149,Colorado School of Mines,Physics,2,7,9,*,,"$25,750","$26,780","$25,750"
150,Columbia University,Physics,18,,18,,,,"$40,310","$40,310"
151,Florida Atlantic University,Physics,3,,6,*,,,,"$20,050"
152,Michigan Technological University,Physics,,,4,*,,"$17,702","$16,982","$16,238"
153,New Jersey Institute of Technology,Physics,,,4,*,,"$26,000","$24,000","$24,000"
154,New Mexico Institute of Mining and Technology,Physics,,3,5,,,"$22,730","$22,730","$22,730"
155,"North Carolina State University, Raleigh",Physics,2,,15,,,"$24,000","$24,000","$23,940"
156,Princeton University,Physics,29,,,,,"$29,900","$29,900","$32,900"
157,Purdue Universty,Physics,,,,*,,"$23,909","$21,275","$20,783"
158,San Diego State University,Physics,,1,12,*,,,"$16,000","$17,964"
159,San Francisco State University,Physics & Astronomy,10,,10,*,,"$2,000","$6,000","$5,430"
160,San Jose State University,Physics,,,5,,,,,
161,Seton Hall University,Physics,,,4,,,,,
162,University of Alabama at Birmingham,Physics,2,1,4,*,,"$26,000","$24,000","$24,000"
163,"University of California, Irvine",Physics,18,3,32,,,,"$20,794","$21,273"
164,"University of California, San Diego",Physics,4,2,43,*,,"$12,500","$21,758","$21,273"
165,University of Central Florida,Physics,1,6,,*,,,,"$22,307"
166,University of Dayton,Electro-Optics Program,,17,7,,,,"$21,000","$14,000"
167,University of Denver,Physics,,,6,,,"$26,667","$20,700","$20,700"
168,"University of Maryland, College Park",Astronomy,,,6,*,,"$35,000","$31,000","$31,000"
169,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,,,,*,,,,
170,"University of Nevada, Reno",Physics,,,8,*,,,"$22,800","$19,000"
171,University of Pennsylvania,Physics,,,13,*,,"$30,477","$30,477","$30,477"
172,University of Southern California,Physics & Astronomy,10,,,*,,"$32,000","$30,500","$30,500"
173,University of Virginia,Physics,,,,*,,"$20,000","$20,000","$20,000"
174,Wayne State University,Physics and Astronomy,,,7,*,,"$20,792","$20,792","$20,792"
175,Wesleyan University,Physics,,,,*,,,,"$34,386"
